FONTE_STN_COD;ANO;MES_COD;UO_COD;FONTE_COD;RECEITA_COD
501;2023;1;2061;60;1611010199001,0
501;2023;1;2061;60;1611020101000,0
501;2023;1;2061;60;1611030104000,0
501;2023;1;2061;60;1922990199000,0
501;2023;1;2071;60;1321010101000,0
501;2023;1;2071;60;1922011101000,0
501;2023;1;2071;60;1922990199000,0
501;2023;1;2091;60;1611010128000,0
501;2023;1;2091;60;1611010199001,0
501;2023;1;2091;60;1699990301000,0
501;2023;1;2091;60;1911061101000,0
501;2023;1;2091;60;1922990199000,0
501;2023;1;2101;60;1611010116000,0
501;2023;1;2101;60;1611010121000,0
501;2023;1;2101;60;1699990301000,0
501;2023;1;2101;60;1911061101000,0
501;2023;1;2101;60;1922990199000,0
501;2023;1;2101;60;1999992199000,0
501;2023;1;2121;60;1311011101000,0
501;2023;1;2121;60;1311011201000,0
501;2023;1;2121;60;1322010102000,0
501;2023;1;2121;60;1329990102000,0
501;2023;1;2121;60;1611010199001,0
501;2023;1;2121;60;1631990105001,0
501;2023;1;2121;60;1631990105002,0
501;2023;1;2121;60;1699990101000,0
501;2023;1;2121;60;1922990199000,0
501;2023;1;2121;60;1999992199000,0
501;2023;1;2121;60;7219991205000,0
501;2023;1;2151;60;1411010101000,0
501;2023;1;2151;60;1611010199001,0
501;2023;1;2171;60;1699990101000,0
501;2023;1;2181;60;1311011101000,0
501;2023;1;2181;60;1611010124000,0
501;2023;1;2181;60;1611010127000,0
501;2023;1;2181;60;1921990199000,0
501;2023;1;2201;60;1699990101000,0
501;2023;1;2211;60;1311011101000,0
501;2023;1;2211;60;1611010107000,0
501;2023;1;2241;60;1699990301000,0
501;2023;1;2241;60;1911061101000,0
501;2023;1;2241;60;1922990199000,0
501;2023;1;2251;60;1611030106000,0
501;2023;1;2251;60;1611040101000,0
501;2023;1;2251;60;1922990199000,0
501;2023;1;2251;60;7611030106000,0
501;2023;1;2261;60;1311011101000,0
501;2023;1;2261;60;1511010101003,0
501;2023;1;2261;60;1511010101999,0
501;2023;1;2261;60;1922990199000,0
501;2023;1;2261;60;7631520101000,0
501;2023;1;2271;60;1311011101000,0
501;2023;1;2271;60;1321010101000,0
501;2023;1;2271;60;1329990199000,0
501;2023;1;2271;60;1511010101002,0
501;2023;1;2271;60;1611010199001,0
501;2023;1;2271;60;1611020101000,0
501;2023;1;2271;60;1631500101000,0
501;2023;1;2271;60;1911090199000,0
501;2023;1;2271;60;1922990199000,0
501;2023;1;2271;60;1923990103000,0
501;2023;1;2271;60;1999992199000,0
501;2023;1;2301;60;1611010103000,0
501;2023;1;2301;60;1611010128000,0
501;2023;1;2301;60;1699990101000,0
501;2023;1;2301;60;1911010199000,0
501;2023;1;2301;60;1921990199000,0
501;2023;1;2301;60;1922990199000,0
501;2023;1;2301;60;1999992199000,0
501;2023;1;2301;60;1999992299000,0
501;2023;1;2311;60;1311011102000,0
501;2023;1;2311;60;1321010101000,0
501;2023;1;2311;60;1611010124000,0
501;2023;1;2311;60;1611020101000,0
501;2023;1;2311;60;1631500101000,0
501;2023;1;2321;60;1321010101000,0
501;2023;1;2321;60;1322010102000,0
